"oil" "HCR" "FDR" "HMR" "Material"
"217" 2.17 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"218" 2.18 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"219" 2.19 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"220" 2.2 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"221" 2.21 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"222" 2.22 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"223" 2.23 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"224" 2.24 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"225" 2.25 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"226" 2.26 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"227" 2.27 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"228" 2.28 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"229" 2.29 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"230" 2.3 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"231" 2.31 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"232" 2.32 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"233" 2.33 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"234" 2.34 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"235" 2.35 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"236" 2.36 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"237" 2.37 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"238" 2.38 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"239" 2.39 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"240" 2.4 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"241" 2.41 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"242" 2.42 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"243" 2.43 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"244" 2.44 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"245" 2.45 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"246" 2.46 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"247" 2.47 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"248" 2.48 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"249" 2.49 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"250" 2.5 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"251" 2.51 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"252" 2.52 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"253" 2.53 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"254" 2.54 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"255" 2.55 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"256" 2.56 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"257" 2.57 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"258" 2.58 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"259" 2.59 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"260" 2.6 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"261" 2.61 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"262" 2.62 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"263" 2.63 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"264" 2.64 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"265" 2.65 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"266" 2.66 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"267" 2.67 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"268" 2.68 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"269" 2.69 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"270" 2.7 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"271" 2.71 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"272" 2.72 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"273" 2.73 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"274" 2.74 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"275" 2.75 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"276" 2.76 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"277" 2.77 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"278" 2.78 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"279" 2.79 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"280" 2.8 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"281" 2.81 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"282" 2.82 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"283" 2.83 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"284" 2.84 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"285" 2.85 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"286" 2.86 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"287" 2.87 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"288" 2.88 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"289" 2.89 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"290" 2.9 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"291" 2.91 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
