name	male	female	group	type	weight	oil
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.44	6.883
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.38	6.862
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.47	6.856
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.45	6.845
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.41	6.836
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.4	6.812
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.38	6.809
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.68	6.806
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.44	6.804
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.39	6.804
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.43	6.786
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.46	6.753
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.37	6.752
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.42	6.738
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.45	6.712
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.45	6.711
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.44	6.708
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.46	6.692
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.37	6.692
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.42	6.685
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.41	6.676
